id,buoy_id,timestamp_utc,latitude,longitude,confidence,species,peak_hz,duration_s,sample_rate_hz,clip_path,spectrogram_path,source,notes
KEIKO-01-20260907T005431,KEIKO-01,2026-09-07T00:54:31Z,42.35828,-71.08611,0.69,crew shell,86,9.3,8000,clips/KEIKO-01-20260907T005431.wav,spectrograms/KEIKO-01-20260907T005431.png,synthetic,generated by tools/keiko_data.py synth --site charles
KEIKO-01-20260907T215724,KEIKO-01,2026-09-07T21:57:24Z,42.35555,-71.09022,0.90,motorboat,96,7.9,8000,clips/KEIKO-01-20260907T215724.wav,spectrograms/KEIKO-01-20260907T215724.png,synthetic,generated by tools/keiko_data.py synth --site charles
KEIKO-01-20260908T000448,KEIKO-01,2026-09-08T00:04:48Z,42.35695,-71.08719,0.85,motorboat,62,10.5,8000,clips/KEIKO-01-20260908T000448.wav,spectrograms/KEIKO-01-20260908T000448.png,synthetic,generated by tools/keiko_data.py synth --site charles
KEIKO-01-20260908T014755,KEIKO-01,2026-09-08T01:47:55Z,42.34085,-70.97164,0.86,unknown,312,2.3,8000,clips/KEIKO-01-20260908T014755.wav,spectrograms/KEIKO-01-20260908T014755.png,synthetic,generated by tools/keiko_data.py synth
KEIKO-01-20260908T030801,KEIKO-01,2026-09-08T03:08:01Z,42.33989,-70.96522,0.68,unknown,391,3.2,8000,clips/KEIKO-01-20260908T030801.wav,spectrograms/KEIKO-01-20260908T030801.png,synthetic,generated by tools/keiko_data.py synth
KEIKO-01-20260908T214927,KEIKO-01,2026-09-08T21:49:27Z,42.35639,-71.08604,0.78,motorboat,86,7.4,8000,clips/KEIKO-01-20260908T214927.wav,spectrograms/KEIKO-01-20260908T214927.png,synthetic,generated by tools/keiko_data.py synth --site charles
KEIKO-01-20260909T032652,KEIKO-01,2026-09-09T03:26:52Z,42.35589,-71.09059,0.97,motorboat,62,10.0,8000,clips/KEIKO-01-20260909T032652.wav,spectrograms/KEIKO-01-20260909T032652.png,synthetic,generated by tools/keiko_data.py synth --site charles
KEIKO-01-20260909T033920,KEIKO-01,2026-09-09T03:39:20Z,42.35649,-71.08796,0.90,motorboat,102,8.7,8000,clips/KEIKO-01-20260909T033920.wav,spectrograms/KEIKO-01-20260909T033920.png,synthetic,generated by tools/keiko_data.py synth --site charles
KEIKO-01-20260909T135142,KEIKO-01,2026-09-09T13:51:42Z,42.35725,-71.08403,0.88,motorboat,94,9.5,8000,clips/KEIKO-01-20260909T135142.wav,spectrograms/KEIKO-01-20260909T135142.png,synthetic,generated by tools/keiko_data.py synth --site charles
KEIKO-01-20260909T190857,KEIKO-01,2026-09-09T19:08:57Z,42.33730,-70.96880,0.83,unknown,385,3.0,8000,clips/KEIKO-01-20260909T190857.wav,spectrograms/KEIKO-01-20260909T190857.png,synthetic,generated by tools/keiko_data.py synth
KEIKO-01-20260910T001503,KEIKO-01,2026-09-10T00:15:03Z,42.34079,-70.97428,0.70,unknown,288,2.1,8000,clips/KEIKO-01-20260910T001503.wav,spectrograms/KEIKO-01-20260910T001503.png,synthetic,generated by tools/keiko_data.py synth
KEIKO-01-20260910T072114,KEIKO-01,2026-09-10T07:21:14Z,42.34122,-70.96970,0.76,unknown,138,3.7,8000,clips/KEIKO-01-20260910T072114.wav,spectrograms/KEIKO-01-20260910T072114.png,synthetic,generated by tools/keiko_data.py synth
KEIKO-01-20260910T101904,KEIKO-01,2026-09-10T10:19:04Z,42.35775,-71.08313,0.53,crew shell,81,10.1,8000,clips/KEIKO-01-20260910T101904.wav,spectrograms/KEIKO-01-20260910T101904.png,synthetic,generated by tools/keiko_data.py synth --site charles
KEIKO-01-20260910T211458,KEIKO-01,2026-09-10T21:14:58Z,42.33663,-70.96795,0.86,unknown,318,3.4,8000,clips/KEIKO-01-20260910T211458.wav,spectrograms/KEIKO-01-20260910T211458.png,synthetic,generated by tools/keiko_data.py synth
KEIKO-01-20260912T132816,KEIKO-01,2026-09-12T13:28:16Z,42.34353,-70.96994,0.79,unknown,177,4.3,8000,clips/KEIKO-01-20260912T132816.wav,spectrograms/KEIKO-01-20260912T132816.png,synthetic,generated by tools/keiko_data.py synth
KEIKO-01-20260913T015425,KEIKO-01,2026-09-13T01:54:25Z,42.33952,-70.97359,0.76,unknown,349,4.2,8000,clips/KEIKO-01-20260913T015425.wav,spectrograms/KEIKO-01-20260913T015425.png,synthetic,generated by tools/keiko_data.py synth
KEIKO-01-20260913T032501,KEIKO-01,2026-09-13T03:25:01Z,42.34182,-70.97088,0.70,unknown,364,1.6,8000,clips/KEIKO-01-20260913T032501.wav,spectrograms/KEIKO-01-20260913T032501.png,synthetic,generated by tools/keiko_data.py synth
KEIKO-01-20260913T130121,KEIKO-01,2026-09-13T13:01:21Z,42.34377,-70.96901,0.69,unknown,204,1.7,8000,clips/KEIKO-01-20260913T130121.wav,spectrograms/KEIKO-01-20260913T130121.png,synthetic,generated by tools/keiko_data.py synth
KEIKO-01-20260913T193148,KEIKO-01,2026-09-13T19:31:48Z,42.35748,-71.08508,0.99,motorboat,81,11.2,8000,clips/KEIKO-01-20260913T193148.wav,spectrograms/KEIKO-01-20260913T193148.png,synthetic,generated by tools/keiko_data.py synth --site charles
KEIKO-01-20260914T052359,KEIKO-01,2026-09-14T05:23:59Z,42.35898,-71.08304,0.69,crew shell,107,9.0,8000,clips/KEIKO-01-20260914T052359.wav,spectrograms/KEIKO-01-20260914T052359.png,synthetic,generated by tools/keiko_data.py synth --site charles
KEIKO-01-20260914T053025,KEIKO-01,2026-09-14T05:30:25Z,42.33938,-70.97022,0.82,unknown,145,2.7,8000,clips/KEIKO-01-20260914T053025.wav,spectrograms/KEIKO-01-20260914T053025.png,synthetic,generated by tools/keiko_data.py synth
KEIKO-01-20260914T112451,KEIKO-01,2026-09-14T11:24:51Z,42.33712,-70.96640,0.77,unknown,414,3.6,8000,clips/KEIKO-01-20260914T112451.wav,spectrograms/KEIKO-01-20260914T112451.png,synthetic,generated by tools/keiko_data.py synth
KEIKO-01-20260915T072554,KEIKO-01,2026-09-15T07:25:54Z,42.33834,-70.96880,0.67,unknown,93,2.2,8000,clips/KEIKO-01-20260915T072554.wav,spectrograms/KEIKO-01-20260915T072554.png,synthetic,generated by tools/keiko_data.py synth
KEIKO-01-20260915T132028,KEIKO-01,2026-09-15T13:20:28Z,42.34012,-70.96908,0.89,unknown,255,4.1,8000,clips/KEIKO-01-20260915T132028.wav,spectrograms/KEIKO-01-20260915T132028.png,synthetic,generated by tools/keiko_data.py synth
KEIKO-01-20260915T195630,KEIKO-01,2026-09-15T19:56:30Z,42.35919,-71.08316,0.76,crew shell,81,7.9,8000,clips/KEIKO-01-20260915T195630.wav,spectrograms/KEIKO-01-20260915T195630.png,synthetic,generated by tools/keiko_data.py synth --site charles
KEIKO-01-20260915T235153,KEIKO-01,2026-09-15T23:51:53Z,42.35641,-71.08608,0.93,motorboat,68,6.2,8000,clips/KEIKO-01-20260915T235153.wav,spectrograms/KEIKO-01-20260915T235153.png,synthetic,generated by tools/keiko_data.py synth --site charles
KEIKO-01-20260916T042729,KEIKO-01,2026-09-16T04:27:29Z,42.35894,-71.08507,0.71,crew shell,78,6.5,8000,clips/KEIKO-01-20260916T042729.wav,spectrograms/KEIKO-01-20260916T042729.png,synthetic,generated by tools/keiko_data.py synth --site charles
KEIKO-01-20260916T043407,KEIKO-01,2026-09-16T04:34:07Z,42.35525,-71.09018,0.77,motorboat,63,9.2,8000,clips/KEIKO-01-20260916T043407.wav,spectrograms/KEIKO-01-20260916T043407.png,synthetic,generated by tools/keiko_data.py synth --site charles
KEIKO-01-20260916T043639,KEIKO-01,2026-09-16T04:36:39Z,42.35553,-71.09116,0.65,crew shell,93,11.8,8000,clips/KEIKO-01-20260916T043639.wav,spectrograms/KEIKO-01-20260916T043639.png,synthetic,generated by tools/keiko_data.py synth --site charles
KEIKO-01-20260916T050453,KEIKO-01,2026-09-16T05:04:53Z,42.33733,-70.96990,0.74,unknown,199,1.6,8000,clips/KEIKO-01-20260916T050453.wav,spectrograms/KEIKO-01-20260916T050453.png,synthetic,generated by tools/keiko_data.py synth
