scientific_name,common_name,group,sound_type,freq_range_hz,duration,datasets_containing_it,source_url,survey
Opsanus tau,Oyster toadfish,fish,Boatwhistle,fundamental 140–260 Hz,200–650 ms,ToadFishFinder; NOAA; SanctSound; Fish & Mowbray; FishSounds,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0182757,survey_fish_invertebrates
Opsanus tau,Oyster toadfish,fish,Grunt (agonistic),—,—,FishSounds,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4662586/,survey_fish_invertebrates
Halobatrachus didactylus,Lusitanian toadfish,fish,Boatwhistle,fundamental ~60 Hz,~0.8 s,DOSITS; FishSounds,https://dosits.org/galleries/audio-gallery/fishes/lusitanian-toadfish/,survey_fish_invertebrates
Porichthys notatus,Plainfin midshipman,fish,Hum,fundamental 98–108 Hz,minutes to >1 h,SanctSound; DOSITS,https://dosits.org/galleries/audio-gallery/fishes/plainfin-midshipman/,survey_fish_invertebrates
Gadus morhua,Atlantic cod,fish,Grunt,50–500 Hz; fundamental 45–60 Hz,~200–300 ms,SanctSound; NOAA,https://pubs.aip.org/asa/jasa/article-abstract/139/5/2532/838475,survey_fish_invertebrates
Pollachius pollachius,Pollack,fish,Grunt,low,—,—,https://onlinelibrary.wiley.com/doi/10.1111/jfb.12342,survey_fish_invertebrates
Melanogrammus aeglefinus,Haddock,fish,Knock,<1 kHz,pulses 10–20 ms apart,SanctSound; NOAA,https://ncbi.nlm.nih.gov/pmc/articles/PMC7588448,survey_fish_invertebrates
Pogonias cromis,Black drum,fish,Harmonic drumming,80–400 Hz,long,May River; NOAA,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0209914,survey_fish_invertebrates
Bairdiella chrysoura,Silver perch,fish,Pulsed call / knocks,80–5000 Hz,5–13+ pulses,May River; NOAA,same,survey_fish_invertebrates
Cynoscion nebulosus,Spotted seatrout,fish,"Grunt, drum, staccato",—,staccato ≤21+ pulses,May River,same,survey_fish_invertebrates
Sciaenops ocellatus,Red drum,fish,Pulse sequence,—,3–5+ pulses,May River,same,survey_fish_invertebrates
Cynoscion regalis,Weakfish,fish,Purr,"300–600 Hz, peak ~540 Hz",0.5–1.0 s,CMAST gallery,https://pubmed.ncbi.nlm.nih.gov/10751166/,survey_fish_invertebrates
Protonibea diacanthus,Black jewfish,fish,Chorus,—,—,Australian Fish Chorus Catalogue,https://academic.oup.com/icesjms/article/73/8/2058/2198353,survey_fish_invertebrates
Argyrosomus japonicus,Mulloway,fish,Chorus,—,—,Australian Fish Chorus Catalogue,https://www.frontiersin.org/journals/remote-sensing/articles/10.3389/frsen.2024.1473168/full,survey_fish_invertebrates
Terapontidae spp.,Grunters,fish,Trumpet/buzz chorus,—,—,Australian Fish Chorus Catalogue,https://www.curtin.edu.au/news/singing-fish-no-tall-tale/,survey_fish_invertebrates
Platax orbicularis,Orbicular batfish,fish,Staccato beat,—,—,Australian Fish Chorus Catalogue,same,survey_fish_invertebrates
Epinephelus guttatus,Red hind,fish,RH1–RH4,20–360 Hz,—,FADAR,https://www.frontiersin.org/journals/marine-science/articles/10.3389/fmars.2024.1378159/full,survey_fish_invertebrates
Epinephelus striatus,Nassau grouper,fish,N1 alarm pulses; N2 courtship tonal; N3 agonistic double pulses; N4 grunt pairs,30–300 Hz,CAS 1.6 s; pulses 0.09 s,FADAR; DOSITS,https://www.frontiersin.org/journals/marine-science/articles/10.3389/fmars.2019.00779/pdf,survey_fish_invertebrates
Mycteroperca venenosa,Yellowfin grouper,fish,"YF1, YF2",peak 89–142 Hz,YF1 ~3 s,FADAR,FADAR paper,survey_fish_invertebrates
Mycteroperca bonaci,Black grouper,fish,Modulated tonal,60–120 Hz,—,FADAR; SanctSound; NOAA,FADAR paper,survey_fish_invertebrates
Epinephelus morio,Red grouper,fish,Pulses + growl; pulse train,peak ~180 Hz,growl 0.5–2 s,SanctSound; NOAA; DOSITS,https://www.researchgate.net/publication/278176913,survey_fish_invertebrates
Epinephelus itajara,Goliath grouper,fish,Boom,—,—,—,https://www.researchgate.net/publication/240809988,survey_fish_invertebrates
Sebastes maliger,Quillback rockfish,fish,Low-frequency pulses,—,—,Mouy 2023,https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/2041-210X.14095,survey_fish_invertebrates
Sebastes caurinus,Copper rockfish,fish,Low-frequency sounds,—,—,Mouy 2023,same,survey_fish_invertebrates
Ophiodon elongatus,Lingcod,fish,Low-frequency sounds,—,—,Mouy 2023,same,survey_fish_invertebrates
Sebastes paucispinis,Bocaccio,fish,Low-frequency calls,—,—,SanctSound,https://sanctsound.ioos.us/sounds.html,survey_fish_invertebrates
Pomacentridae,Damselfishes,fish,Pulses / pulse trains,"100–1000 Hz, peaks 100–300 Hz",pulses <100 ms,ReefSet; Duane; SanctSound,https://link.springer.com/article/10.1007/BF00606305,survey_fish_invertebrates
Chromis viridis,Blue-green damselfish,fish,Agonistic pulse trains,—,1–22 pulses,—,https://www.researchgate.net/publication/241681939,survey_fish_invertebrates
Dascyllus aruanus,Humbug dascyllus,fish,Pop; Chirp,pops peak 680–1300 Hz; chirps 3400–4100 Hz,pops 6.7 ms,—,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1095-8649.2006.01117.x,survey_fish_invertebrates
Plectroglyphidodon lacrymatus,Whitespotted devil,fish,Pulsed / chirps,—,—,—,same,survey_fish_invertebrates
Pomacentrus amboinensis,Ambon damselfish,fish,Reproductive pulsed + tonal,~414 Hz,—,—,https://www.researchgate.net/publication/306343726,survey_fish_invertebrates
Holocentridae spp.,Squirrelfish,fish,Grunts/staccato,150–750 Hz,—,Duane (Kaggle),https://pmc.ncbi.nlm.nih.gov/articles/PMC13411937/,survey_fish_invertebrates
Scaridae spp.,Parrotfishes,fish,Feeding scrapes; rasps,—,—,Duane; Fish & Mowbray,https://web.uri.edu/gso/research/fish-sounds/,survey_fish_invertebrates
Ariopsis felis,Hardhead sea catfish,fish,Vocalizations,—,—,Fish & Mowbray,https://web.uri.edu/wp-content/uploads/sites/916/sea-catfish_047.002_mono.mp3,survey_fish_invertebrates
