clip,window,species,common_name,tape,orig_sr,duration_s,pad_s,gain_db,split
52008002,0,Megaptera novaeangliae,Humpback whale,52008,30000,4.905,0.0,11.58,train
52008002,1,Megaptera novaeangliae,Humpback whale,52008,30000,4.905,0.0,9.8,train
52008002,2,Megaptera novaeangliae,Humpback whale,52008,30000,4.905,0.0,-17.64,train
52008003,0,Megaptera novaeangliae,Humpback whale,52008,30000,3.252,0.0,-1.32,train
52008003,1,Megaptera novaeangliae,Humpback whale,52008,30000,3.252,0.0,3.3,train
54018001,0,Megaptera novaeangliae,Humpback whale,54018,14900,6.261,0.0,4.35,train
54018001,1,Megaptera novaeangliae,Humpback whale,54018,14900,6.261,0.0,-10.4,train
54018001,2,Megaptera novaeangliae,Humpback whale,54018,14900,6.261,0.0,-12.56,train
54018001,3,Megaptera novaeangliae,Humpback whale,54018,14900,6.261,0.0,7.41,train
54018001,4,Megaptera novaeangliae,Humpback whale,54018,14900,6.261,0.0,-9.91,train
54018002,0,Megaptera novaeangliae,Humpback whale,54018,14900,3.33,0.0,9.32,train
54018002,1,Megaptera novaeangliae,Humpback whale,54018,14900,3.33,0.0,-25.45,train
54018003,0,Megaptera novaeangliae,Humpback whale,54018,14900,3.35,0.0,-15.72,train
54018003,1,Megaptera novaeangliae,Humpback whale,54018,14900,3.35,0.0,4.53,train
54018004,0,Megaptera novaeangliae,Humpback whale,54018,14900,16.342,0.0,5.37,train
54018004,1,Megaptera novaeangliae,Humpback whale,54018,14900,16.342,0.0,13.68,train
54018004,2,Megaptera novaeangliae,Humpback whale,54018,14900,16.342,0.0,-6.93,train
54018004,3,Megaptera novaeangliae,Humpback whale,54018,14900,16.342,0.0,-15.81,train
54018004,4,Megaptera novaeangliae,Humpback whale,54018,14900,16.342,0.0,8.13,train
54018005,0,Megaptera novaeangliae,Humpback whale,54018,14900,3.478,0.0,-22.52,train
54018005,1,Megaptera novaeangliae,Humpback whale,54018,14900,3.478,0.0,-11.73,train
54018006,0,Megaptera novaeangliae,Humpback whale,54018,14900,3.196,0.0,-5.71,train
54018006,1,Megaptera novaeangliae,Humpback whale,54018,14900,3.196,0.0,-22.28,train
54018007,0,Megaptera novaeangliae,Humpback whale,54018,14900,2.838,0.0,11.69,train
54018008,0,Megaptera novaeangliae,Humpback whale,54018,14900,5.089,0.0,3.22,train
54018008,1,Megaptera novaeangliae,Humpback whale,54018,14900,5.089,0.0,-20.75,train
54018008,2,Megaptera novaeangliae,Humpback whale,54018,14900,5.089,0.0,0.91,train
54018008,3,Megaptera novaeangliae,Humpback whale,54018,14900,5.089,0.0,6.79,train
54018009,0,Megaptera novaeangliae,Humpback whale,54018,14900,7.109,0.0,-0.64,train
54018009,1,Megaptera novaeangliae,Humpback whale,54018,14900,7.109,0.0,4.92,train
54018009,2,Megaptera novaeangliae,Humpback whale,54018,14900,7.109,0.0,-7.59,train
54018009,3,Megaptera novaeangliae,Humpback whale,54018,14900,7.109,0.0,-20.69,train
54018009,4,Megaptera novaeangliae,Humpback whale,54018,14900,7.109,0.0,13.14,train
5401800A,0,Megaptera novaeangliae,Humpback whale,54018,14900,11.762,0.0,-27.33,train
5401800A,1,Megaptera novaeangliae,Humpback whale,54018,14900,11.762,0.0,-12.3,train
5401800A,2,Megaptera novaeangliae,Humpback whale,54018,14900,11.762,0.0,8.63,train
5401800A,3,Megaptera novaeangliae,Humpback whale,54018,14900,11.762,0.0,-7.15,train
5401800A,4,Megaptera novaeangliae,Humpback whale,54018,14900,11.762,0.0,2.17,train
5401800B,0,Megaptera novaeangliae,Humpback whale,54018,14900,15.547,0.0,-26.99,train
5401800B,1,Megaptera novaeangliae,Humpback whale,54018,14900,15.547,0.0,-22.06,train
5401800B,2,Megaptera novaeangliae,Humpback whale,54018,14900,15.547,0.0,3.54,train
5401800B,3,Megaptera novaeangliae,Humpback whale,54018,14900,15.547,0.0,7.65,train
5401800B,4,Megaptera novaeangliae,Humpback whale,54018,14900,15.547,0.0,-19.01,train
5401800C,0,Megaptera novaeangliae,Humpback whale,54018,14900,4.91,0.0,-17.2,train
5401800C,1,Megaptera novaeangliae,Humpback whale,54018,14900,4.91,0.0,-11.62,train
5401800C,2,Megaptera novaeangliae,Humpback whale,54018,14900,4.91,0.0,-20.4,train
5401800D,0,Megaptera novaeangliae,Humpback whale,54018,14900,5.498,0.0,-23.74,train
5401800D,1,Megaptera novaeangliae,Humpback whale,54018,14900,5.498,0.0,3.16,train
5401800D,2,Megaptera novaeangliae,Humpback whale,54018,14900,5.498,0.0,-7.25,train
5401800D,3,Megaptera novaeangliae,Humpback whale,54018,14900,5.498,0.0,-12.19,train
5401800E,0,Megaptera novaeangliae,Humpback whale,54018,14900,9.819,0.0,11.77,train
5401800E,1,Megaptera novaeangliae,Humpback whale,54018,14900,9.819,0.0,-0.81,train
5401800E,2,Megaptera novaeangliae,Humpback whale,54018,14900,9.819,0.0,-0.11,train
5401800E,3,Megaptera novaeangliae,Humpback whale,54018,14900,9.819,0.0,-14.35,train
5401800E,4,Megaptera novaeangliae,Humpback whale,54018,14900,9.819,0.0,-3.66,train
5401800F,0,Megaptera novaeangliae,Humpback whale,54018,14900,11.788,0.0,10.46,train
5401800F,1,Megaptera novaeangliae,Humpback whale,54018,14900,11.788,0.0,8.1,train
5401800F,2,Megaptera novaeangliae,Humpback whale,54018,14900,11.788,0.0,-15.74,train
