window_id,clip_id,species,common_name,taxon_group,label,label_id,group,source,location,observation_date,split,clip_offset_s,n_windows_in_clip
0,1,Delphinapterus leucas,Beluga,toothed whale,Delphinapterus_leucas,3,watkins:49001,"Watkins Marine Mammal Sound Database (WMMD, ""All Cuts"")","Saguenay River, Quebec, Canada",,test,0.0,1
1,2,Delphinapterus leucas,Beluga,toothed whale,Delphinapterus_leucas,3,watkins:49001,"Watkins Marine Mammal Sound Database (WMMD, ""All Cuts"")","Saguenay River, Quebec, Canada",,test,0.0,1
2,3,Delphinapterus leucas,Beluga,toothed whale,Delphinapterus_leucas,3,watkins:49001,"Watkins Marine Mammal Sound Database (WMMD, ""All Cuts"")","Saguenay River, Quebec, Canada",,test,0.0,6
3,3,Delphinapterus leucas,Beluga,toothed whale,Delphinapterus_leucas,3,watkins:49001,"Watkins Marine Mammal Sound Database (WMMD, ""All Cuts"")","Saguenay River, Quebec, Canada",,test,1.5,6
4,3,Delphinapterus leucas,Beluga,toothed whale,Delphinapterus_leucas,3,watkins:49001,"Watkins Marine Mammal Sound Database (WMMD, ""All Cuts"")","Saguenay River, Quebec, Canada",,test,3.0,6
5,3,Delphinapterus leucas,Beluga,toothed whale,Delphinapterus_leucas,3,watkins:49001,"Watkins Marine Mammal Sound Database (WMMD, ""All Cuts"")","Saguenay River, Quebec, Canada",,test,4.5,6
6,3,Delphinapterus leucas,Beluga,toothed whale,Delphinapterus_leucas,3,watkins:49001,"Watkins Marine Mammal Sound Database (WMMD, ""All Cuts"")","Saguenay River, Quebec, Canada",,test,6.0,6
7,3,Delphinapterus leucas,Beluga,toothed whale,Delphinapterus_leucas,3,watkins:49001,"Watkins Marine Mammal Sound Database (WMMD, ""All Cuts"")","Saguenay River, Quebec, Canada",,test,7.5,6
8,4,Tursiops truncatus,Common bottlenose dolphin,toothed whale,Tursiops_truncatus,22,watkins:51041,"Watkins Marine Mammal Sound Database (WMMD, ""All Cuts"")","Biscayne Bay, Florida",1951-04-06T00:00:00Z,train,0.0,1
9,5,Tursiops truncatus,Common bottlenose dolphin,toothed whale,Tursiops_truncatus,22,watkins:51041,"Watkins Marine Mammal Sound Database (WMMD, ""All Cuts"")","Biscayne Bay, Florida",1951-04-06T00:00:00Z,train,0.0,1
10,6,Physeter macrocephalus,Sperm whale,toothed whale,Physeter_macrocephalus,15,watkins:52008,"Watkins Marine Mammal Sound Database (WMMD, ""All Cuts"")",Bermuda,1952-04-09T00:00:00Z,train,0.0,2
11,6,Physeter macrocephalus,Sperm whale,toothed whale,Physeter_macrocephalus,15,watkins:52008,"Watkins Marine Mammal Sound Database (WMMD, ""All Cuts"")",Bermuda,1952-04-09T00:00:00Z,train,1.5,2
12,7,Megaptera novaeangliae,Humpback whale,baleen whale,Megaptera_novaeangliae,12,watkins:52008,"Watkins Marine Mammal Sound Database (WMMD, ""All Cuts"")",Bermuda,1952-04-09T00:00:00Z,train,0.0,2
13,7,Megaptera novaeangliae,Humpback whale,baleen whale,Megaptera_novaeangliae,12,watkins:52008,"Watkins Marine Mammal Sound Database (WMMD, ""All Cuts"")",Bermuda,1952-04-09T00:00:00Z,train,1.5,2
14,8,Megaptera novaeangliae,Humpback whale,baleen whale,Megaptera_novaeangliae,12,watkins:52008,"Watkins Marine Mammal Sound Database (WMMD, ""All Cuts"")",Bermuda,1952-04-09T00:00:00Z,train,0.0,1
15,9,Physeter macrocephalus,Sperm whale,toothed whale,Physeter_macrocephalus,15,watkins:52008,"Watkins Marine Mammal Sound Database (WMMD, ""All Cuts"")",BermudaBD,1952-04-09T00:00:00Z,train,0.0,1
16,10,Physeter macrocephalus,Sperm whale,toothed whale,Physeter_macrocephalus,15,watkins:52008,"Watkins Marine Mammal Sound Database (WMMD, ""All Cuts"")",Bermuda,1952-04-09T00:00:00Z,train,0.0,2
17,10,Physeter macrocephalus,Sperm whale,toothed whale,Physeter_macrocephalus,15,watkins:52008,"Watkins Marine Mammal Sound Database (WMMD, ""All Cuts"")",Bermuda,1952-04-09T00:00:00Z,train,1.5,2
18,11,Globicephala melas,Long-finned pilot whale,toothed whale,Globicephala_melas,7,watkins:53007,"Watkins Marine Mammal Sound Database (WMMD, ""All Cuts"")","Western North Atlantic, between Block Canyon and Atlantis Canyon",1953-06-11T00:00:00Z,train,0.0,3
19,11,Globicephala melas,Long-finned pilot whale,toothed whale,Globicephala_melas,7,watkins:53007,"Watkins Marine Mammal Sound Database (WMMD, ""All Cuts"")","Western North Atlantic, between Block Canyon and Atlantis Canyon",1953-06-11T00:00:00Z,train,1.5,3
