site_id,source,provider,name,lat,lon,coord_precision_km
"watkins:-45.0,167.0",watkins,WHOI Watkins,"5 to 6 miles southeast of Kaikoura Head, New Zealand",-45.0,167.0,60.0
"watkins:-52.0,-70.0",watkins,WHOI Watkins,Straits of Magellan,-52.0,-70.0,60.0
"watkins:-77.0,169.0",watkins,WHOI Watkins,"Cape Crozier, Antarctica",-77.0,169.0,60.0
"watkins:10.0,-86.0",watkins,WHOI Watkins,Costa Rica,10.0,-86.0,60.0
"watkins:13.0,-61.0",watkins,WHOI Watkins,"11 mi. WSW West Cay, Bequia",13.0,-61.0,60.0
"watkins:14.0,-61.0",watkins,WHOI Watkins,Dominica,14.0,-61.0,60.0
"watkins:15.0,-61.0",watkins,WHOI Watkins,N end of Dominica,15.0,-61.0,60.0
"watkins:15.232,-61.54",watkins,WHOI Watkins,Dominica,15.232,-61.5398,2.0
"watkins:15.233,-61.46",watkins,WHOI Watkins,"SW of Scott Head, Dominica",15.233,-61.4605,2.0
"watkins:15.302,-61.458",watkins,WHOI Watkins,Dominica,15.3022,-61.4583,2.0
"watkins:15.306,-61.54",watkins,WHOI Watkins,Dominica,15.3057,-61.54,2.0
"watkins:15.309,-61.454",watkins,WHOI Watkins,Dominica,15.309,-61.4537,2.0
"watkins:15.381,-61.465",watkins,WHOI Watkins,Dominica,15.3813,-61.4647,2.0
"watkins:15.384,-61.468",watkins,WHOI Watkins,Dominica,15.3842,-61.4677,2.0
"watkins:15.398,-61.515",watkins,WHOI Watkins,Dominica,15.3982,-61.5152,2.0
"watkins:15.401,-61.518",watkins,WHOI Watkins,Dominica,15.4012,-61.5182,2.0
"watkins:15.404,-61.52",watkins,WHOI Watkins,Dominica,15.4045,-61.52,2.0
"watkins:15.407,-61.53",watkins,WHOI Watkins,Dominica,15.407,-61.5303,2.0
"watkins:15.419,-61.491",watkins,WHOI Watkins,Dominica,15.4194,-61.4911,2.0
"watkins:15.43,-61.493",watkins,WHOI Watkins,Dominica,15.4298,-61.4933,2.0
"watkins:15.465,-61.498",watkins,WHOI Watkins,Dominica,15.465,-61.4983,2.0
"watkins:15.503,-61.484",watkins,WHOI Watkins,Dominica,15.5027,-61.4845,2.0
"watkins:15.521,-61.545",watkins,WHOI Watkins,Dominica,15.5213,-61.5452,2.0
"watkins:15.535,-61.514",watkins,WHOI Watkins,Dominica,15.5348,-61.5138,2.0
"watkins:15.535,-61.528",watkins,WHOI Watkins,Dominica,15.535,-61.5282,2.0
"watkins:15.543,-61.509",watkins,WHOI Watkins,Dominica,15.543,-61.509,2.0
"watkins:16.0,-61.0",watkins,WHOI Watkins,Dominica,16.0,-61.0,60.0
"watkins:18.0,-64.0",watkins,WHOI Watkins,"1-1.5 miles North of Tortola, British Virgin Islands",18.0,-64.0,60.0
"watkins:18.0,-68.0",watkins,WHOI Watkins,"Tortola, British Virgin Islands",18.0,-68.0,60.0
"watkins:19.0,-156.0",watkins,WHOI Watkins,"Kealakekua Bay, Hawaii",19.0,-156.0,60.0
"watkins:19.0,-66.0",watkins,WHOI Watkins,"3 miles N of San Juan, Puerto Rico",19.0,-66.0,60.0
"watkins:19.467,-155.917",watkins,WHOI Watkins,"Kealakekua Bay, Hawaii",19.4667,-155.9167,2.0
"watkins:19.5,-156.0",watkins,WHOI Watkins,"Kealakekua Bay, Hawaii",19.5,-156.0,2.0
"watkins:21.0,-157.0",watkins,WHOI Watkins,"Off Maui, HI",21.0,-157.0,60.0
"watkins:24.0,-112.0",watkins,WHOI Watkins,"Magdalena Bay, Baja, California",24.0,-112.0,60.0
"watkins:25.0,-77.0",watkins,WHOI Watkins,"NW arm of Tongue of the Ocean, Northern Bahamas",25.0,-77.0,60.0
"watkins:25.0,-79.0",watkins,WHOI Watkins,"11 miles NW of Bimini, Northern Bahamas",25.0,-79.0,60.0
"watkins:25.0,-80.0",watkins,WHOI Watkins,"Biscayne Bay, Florida",25.0,-80.0,60.0
"watkins:28.0,-13.0",watkins,WHOI Watkins,"4 mi. NE Isla de Lobo, Canary Islands",28.0,-13.0,60.0
"watkins:29.0,-13.0",watkins,WHOI Watkins,"Lower end of Lanzarote Is., Canary I.",29.0,-13.0,60.0
"watkins:29.0,-14.0",watkins,WHOI Watkins,"W of Lanzarote, Canary Islands",29.0,-14.0,60.0
"watkins:31.0,-65.0",watkins,WHOI Watkins,"Plantagenet Bank, Bermuda",31.0,-65.0,60.0
"watkins:31.967,-65.167",watkins,WHOI Watkins,"over Plantagenet Banks, Bermuda",31.9667,-65.1667,2.0
"watkins:32.0,-117.0",watkins,WHOI Watkins,"1 mi. off Point Loma, San Diego, Calif.",32.0,-117.0,60.0
"watkins:32.0,-64.0",watkins,WHOI Watkins,Bermuda,32.0,-64.0,60.0
"watkins:32.267,-64.717",watkins,WHOI Watkins,"off Gibbs Hill Light, Bermuda",32.2667,-64.7167,2.0
"watkins:32.367,-64.633",watkins,WHOI Watkins,"St. David's Island, Bermuda",32.3667,-64.6333,2.0
"watkins:33.0,-118.0",watkins,WHOI Watkins,"San Pedro Channel, Santa Catalina Island, California",33.0,-118.0,60.0
"watkins:33.0,-119.0",watkins,WHOI Watkins,"10 mi. SE of San Pedro Light, Santa Cruz Island, California",33.0,-119.0,60.0
"watkins:33.0,-17.0",watkins,WHOI Watkins,Madeira,33.0,-17.0,60.0
"watkins:36.0,-4.0",watkins,WHOI Watkins,90 miles E of Gibraltar,36.0,-4.0,60.0
"watkins:36.0,15.0",watkins,WHOI Watkins,50 mi. NE Malta,36.0,15.0,60.0
"watkins:37.7,-73.017",watkins,WHOI Watkins,Delaware,37.7,-73.0167,2.0
"watkins:38.0,-64.0",watkins,WHOI Watkins,,38.0,-64.0,60.0
"watkins:38.0,-71.0",watkins,WHOI Watkins,,38.0,-71.0,60.0
"watkins:38.0,-72.0",watkins,WHOI Watkins,,38.0,-72.0,60.0
"watkins:38.0,-73.0",watkins,WHOI Watkins,North Atlantic,38.0,-73.0,60.0
"watkins:38.0,-74.0",watkins,WHOI Watkins,,38.0,-74.0,60.0
