event_id,source,site_id,location_name,lat,lon,coord_precision_km,coord_source,datetime_utc,time_precision,species,common_name,taxon_group,ecotype,call_type,n_detections,source_ref
1,aad,aad:BallenyIslands2015,Balleny Islands 2015 (Southern Ocean mooring),-65.3557,167.9115,1.0,aad_folderStructure,2015-01-15T17:00:00Z,minute,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,,Bm-D,1,Balleny2015.BmD.selections.txt
2,aad,aad:BallenyIslands2015,Balleny Islands 2015 (Southern Ocean mooring),-65.3557,167.9115,1.0,aad_folderStructure,2015-01-15T17:01:00Z,minute,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,,Bm-D,1,Balleny2015.BmD.selections.txt
3,aad,aad:BallenyIslands2015,Balleny Islands 2015 (Southern Ocean mooring),-65.3557,167.9115,1.0,aad_folderStructure,2015-01-15T17:08:00Z,minute,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,,Bm-D,1,Balleny2015.BmD.selections.txt
4,aad,aad:BallenyIslands2015,Balleny Islands 2015 (Southern Ocean mooring),-65.3557,167.9115,1.0,aad_folderStructure,2015-01-15T17:27:00Z,minute,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,,Bm-D,1,Balleny2015.BmD.selections.txt
5,aad,aad:BallenyIslands2015,Balleny Islands 2015 (Southern Ocean mooring),-65.3557,167.9115,1.0,aad_folderStructure,2015-01-15T17:56:00Z,minute,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,,Bm-D,1,Balleny2015.BmD.selections.txt
6,aad,aad:BallenyIslands2015,Balleny Islands 2015 (Southern Ocean mooring),-65.3557,167.9115,1.0,aad_folderStructure,2015-02-04T03:27:00Z,minute,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,,Bm-Ant-A,1,Balleny2015.BmAnt-A.selections.txt
7,aad,aad:BallenyIslands2015,Balleny Islands 2015 (Southern Ocean mooring),-65.3557,167.9115,1.0,aad_folderStructure,2015-02-16T11:50:00Z,minute,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,,Bm-Ant-A,1,Balleny2015.BmAnt-A.selections.txt
8,aad,aad:BallenyIslands2015,Balleny Islands 2015 (Southern Ocean mooring),-65.3557,167.9115,1.0,aad_folderStructure,2015-02-16T11:52:00Z,minute,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,,Bm-Ant-A,1,Balleny2015.BmAnt-A.selections.txt
9,aad,aad:BallenyIslands2015,Balleny Islands 2015 (Southern Ocean mooring),-65.3557,167.9115,1.0,aad_folderStructure,2015-02-16T11:54:00Z,minute,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,,Bm-Ant-A,1,Balleny2015.BmAnt-A.selections.txt
10,aad,aad:BallenyIslands2015,Balleny Islands 2015 (Southern Ocean mooring),-65.3557,167.9115,1.0,aad_folderStructure,2015-02-20T00:00:00Z,minute,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,,Bm-Ant-A,1,Balleny2015.BmAnt-A.selections.txt
11,aad,aad:BallenyIslands2015,Balleny Islands 2015 (Southern Ocean mooring),-65.3557,167.9115,1.0,aad_folderStructure,2015-02-20T00:01:00Z,minute,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,,Bm-Ant-A,2,Balleny2015.BmAnt-A.selections.txt
12,aad,aad:BallenyIslands2015,Balleny Islands 2015 (Southern Ocean mooring),-65.3557,167.9115,1.0,aad_folderStructure,2015-02-20T00:02:00Z,minute,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,,Bm-Ant-A,2,Balleny2015.BmAnt-A.selections.txt
13,aad,aad:BallenyIslands2015,Balleny Islands 2015 (Southern Ocean mooring),-65.3557,167.9115,1.0,aad_folderStructure,2015-02-20T00:03:00Z,minute,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,,Bm-Ant-A,1,Balleny2015.BmAnt-A.selections.txt
14,aad,aad:BallenyIslands2015,Balleny Islands 2015 (Southern Ocean mooring),-65.3557,167.9115,1.0,aad_folderStructure,2015-02-20T00:04:00Z,minute,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,,Bm-Ant-A,2,Balleny2015.BmAnt-A.selections.txt
