source,site_id,lat,lon,coord_precision_km,date,species,common_name,taxon_group,n_detections,n_events,ecotypes
aad,aad:BallenyIslands2015,-65.3557,167.9115,1.0,2015-01-15,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,5,5,
aad,aad:BallenyIslands2015,-65.3557,167.9115,1.0,2015-02-04,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,1,1,
aad,aad:BallenyIslands2015,-65.3557,167.9115,1.0,2015-02-16,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,3,3,
aad,aad:BallenyIslands2015,-65.3557,167.9115,1.0,2015-02-20,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,18,14,
aad,aad:BallenyIslands2015,-65.3557,167.9115,1.0,2015-02-23,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,19,17,
aad,aad:BallenyIslands2015,-65.3557,167.9115,1.0,2015-02-25,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,30,28,
aad,aad:BallenyIslands2015,-65.3557,167.9115,1.0,2015-02-27,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,12,11,
aad,aad:BallenyIslands2015,-65.3557,167.9115,1.0,2015-02-28,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,33,27,
aad,aad:BallenyIslands2015,-65.3557,167.9115,1.0,2015-03-02,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,35,31,
aad,aad:BallenyIslands2015,-65.3557,167.9115,1.0,2015-03-04,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,44,31,
aad,aad:BallenyIslands2015,-65.3557,167.9115,1.0,2015-03-06,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,48,33,
aad,aad:BallenyIslands2015,-65.3557,167.9115,1.0,2015-03-07,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,42,29,
aad,aad:BallenyIslands2015,-65.3557,167.9115,1.0,2015-03-09,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,22,17,
aad,aad:BallenyIslands2015,-65.3557,167.9115,1.0,2015-03-09,Balaenoptera physalus,Fin whale,baleen whale,2,2,
aad,aad:BallenyIslands2015,-65.3557,167.9115,1.0,2015-03-11,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,4,3,
aad,aad:BallenyIslands2015,-65.3557,167.9115,1.0,2015-03-13,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,5,4,
aad,aad:BallenyIslands2015,-65.3557,167.9115,1.0,2015-03-14,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,9,8,
aad,aad:BallenyIslands2015,-65.3557,167.9115,1.0,2015-03-16,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,27,22,
aad,aad:BallenyIslands2015,-65.3557,167.9115,1.0,2015-03-16,Balaenoptera physalus,Fin whale,baleen whale,82,35,
aad,aad:BallenyIslands2015,-65.3557,167.9115,1.0,2015-03-18,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,1,1,
aad,aad:BallenyIslands2015,-65.3557,167.9115,1.0,2015-03-20,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,3,3,
aad,aad:BallenyIslands2015,-65.3557,167.9115,1.0,2015-03-20,Balaenoptera physalus,Fin whale,baleen whale,47,19,
aad,aad:BallenyIslands2015,-65.3557,167.9115,1.0,2015-03-22,Balaenoptera physalus,Fin whale,baleen whale,73,46,
aad,aad:BallenyIslands2015,-65.3557,167.9115,1.0,2015-03-23,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,22,17,
aad,aad:BallenyIslands2015,-65.3557,167.9115,1.0,2015-03-23,Balaenoptera physalus,Fin whale,baleen whale,31,18,
aad,aad:BallenyIslands2015,-65.3557,167.9115,1.0,2015-03-25,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,5,5,
aad,aad:BallenyIslands2015,-65.3557,167.9115,1.0,2015-03-25,Balaenoptera physalus,Fin whale,baleen whale,58,27,
aad,aad:BallenyIslands2015,-65.3557,167.9115,1.0,2015-03-27,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,12,10,
aad,aad:BallenyIslands2015,-65.3557,167.9115,1.0,2015-03-27,Balaenoptera physalus,Fin whale,baleen whale,109,43,
aad,aad:BallenyIslands2015,-65.3557,167.9115,1.0,2015-03-29,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,32,25,
aad,aad:BallenyIslands2015,-65.3557,167.9115,1.0,2015-03-29,Balaenoptera physalus,Fin whale,baleen whale,56,26,
aad,aad:BallenyIslands2015,-65.3557,167.9115,1.0,2015-03-30,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,3,3,
aad,aad:BallenyIslands2015,-65.3557,167.9115,1.0,2015-03-30,Balaenoptera physalus,Fin whale,baleen whale,72,27,
aad,aad:BallenyIslands2015,-65.3557,167.9115,1.0,2015-04-01,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,8,5,
aad,aad:BallenyIslands2015,-65.3557,167.9115,1.0,2015-04-01,Balaenoptera physalus,Fin whale,baleen whale,136,37,
aad,aad:BallenyIslands2015,-65.3557,167.9115,1.0,2015-04-03,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,104,72,
aad,aad:BallenyIslands2015,-65.3557,167.9115,1.0,2015-04-03,Balaenoptera physalus,Fin whale,baleen whale,66,29,
aad,aad:BallenyIslands2015,-65.3557,167.9115,1.0,2015-04-05,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,11,11,
aad,aad:BallenyIslands2015,-65.3557,167.9115,1.0,2015-04-05,Balaenoptera physalus,Fin whale,baleen whale,78,33,
aad,aad:BallenyIslands2015,-65.3557,167.9115,1.0,2015-04-06,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,93,54,
aad,aad:BallenyIslands2015,-65.3557,167.9115,1.0,2015-04-06,Balaenoptera physalus,Fin whale,baleen whale,108,45,
aad,aad:BallenyIslands2015,-65.3557,167.9115,1.0,2015-04-08,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,10,8,
aad,aad:BallenyIslands2015,-65.3557,167.9115,1.0,2015-04-08,Balaenoptera physalus,Fin whale,baleen whale,11,9,
aad,aad:BallenyIslands2015,-65.3557,167.9115,1.0,2015-04-10,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,1,1,
aad,aad:BallenyIslands2015,-65.3557,167.9115,1.0,2015-04-10,Balaenoptera physalus,Fin whale,baleen whale,26,11,
aad,aad:BallenyIslands2015,-65.3557,167.9115,1.0,2015-04-12,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,12,11,
aad,aad:BallenyIslands2015,-65.3557,167.9115,1.0,2015-04-12,Balaenoptera physalus,Fin whale,baleen whale,5,4,
aad,aad:BallenyIslands2015,-65.3557,167.9115,1.0,2015-04-13,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,28,22,
aad,aad:BallenyIslands2015,-65.3557,167.9115,1.0,2015-04-13,Balaenoptera physalus,Fin whale,baleen whale,8,5,
aad,aad:BallenyIslands2015,-65.3557,167.9115,1.0,2015-04-15,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,28,21,
aad,aad:BallenyIslands2015,-65.3557,167.9115,1.0,2015-04-15,Balaenoptera physalus,Fin whale,baleen whale,91,33,
aad,aad:BallenyIslands2015,-65.3557,167.9115,1.0,2015-04-17,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,42,40,
aad,aad:BallenyIslands2015,-65.3557,167.9115,1.0,2015-04-19,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,40,27,
aad,aad:BallenyIslands2015,-65.3557,167.9115,1.0,2015-04-19,Balaenoptera physalus,Fin whale,baleen whale,90,45,
aad,aad:BallenyIslands2015,-65.3557,167.9115,1.0,2015-04-21,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,25,20,
aad,aad:BallenyIslands2015,-65.3557,167.9115,1.0,2015-04-22,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,21,21,
aad,aad:BallenyIslands2015,-65.3557,167.9115,1.0,2015-04-24,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,9,8,
aad,aad:BallenyIslands2015,-65.3557,167.9115,1.0,2015-04-26,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,2,2,
aad,aad:BallenyIslands2015,-65.3557,167.9115,1.0,2015-04-26,Balaenoptera physalus,Fin whale,baleen whale,22,14,
aad,aad:BallenyIslands2015,-65.3557,167.9115,1.0,2015-04-28,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,1,1,
aad,aad:BallenyIslands2015,-65.3557,167.9115,1.0,2015-04-29,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,10,10,
aad,aad:BallenyIslands2015,-65.3557,167.9115,1.0,2015-05-01,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,49,42,
